_id,content,Contenu
ObjectId(55ab18efa32b3e52b8b0a4b9),1. Keep it small. 2. Divide up dessert. 3. Avoid super-sizing. 4. Ask for more vegetables. 5. Go for whole grains. 6. Keep sodium in check. 7. Get sauce on the side. 8. Skip sweet drinks. 9. Ask how food is prepared. 10 Look ahead.,1. Gardez-le petit 2. Divisez le dessert 3. Évitez le super-calibrage 4. Demandez plus de légumes 5. Aller pour les grains entiers 6. Gardez le sodium en échec 7. Obtenez de la sauce sur le côté. Sauter les boissons sucrées 9. Demandez comment la nourriture est préparée.
ObjectId(55ab18efa32b3e52b8b0a4bb),"Use your fist to estimate 1 serving (15g) of carbohydrates (fruit, starch & grains).","Utilisez votre poing pour estimer 1 portion (15g) de glucides (fruits, amidon et grains)."
ObjectId(55ab18efa32b3e52b8b0a4bd),Added sugar provides minimal nutritional benefit. Health Canada recommends no more than 10% of total calories or 12.5 teaspoons (50g) of added sugar per day (based on a 2000 kcal diet). ,"Santé Canada ne recommande pas plus de 10% des calories totales ou 12,5 cuillères à café (50g) de sucre ajouté par jour (selon un régime alimentaire de 2000 kcal)."
ObjectId(55ab18efa32b3e52b8b0a4bf),Include a carbohydrate and protein at every snack.,Inclure un glucide et des protéines à chaque goûter.
ObjectId(55ab18efa32b3e52b8b0a4c1),Try to eat every 4-6 hours to prevent highs and lows associated with skipping meals. Remember to track your blood glucose levels if you change your eating habits.,Essayez de manger toutes les 4-6 heures pour éviter les hauts et les bas associés à sauter des repas. N'oubliez pas de suivre votre glycémie si vous changez vos habitudes alimentaires.
ObjectId(55ab18efa32b3e52b8b0a4c3),Choose sweet potatoes for a lower glycemic index food.,Choisir des patates douces pour une nourriture à indice glycémique inférieur.
ObjectId(55ab18efa32b3e52b8b0a4c5),Take advantage of the optical illusion! Use a smaller plate to help reduce portion sizes and overeating at meals and snacks.,Profitez de l'illusion d'optique! Utilisez une assiette plus petite pour aider à réduire la taille des portions et la suralimentation lors des repas et des collations.
ObjectId(55ab18efa32b3e52b8b0a4c7),This is how your plate should look.,C'est ainsi que votre assiette devrait ressembler.
ObjectId(55ab18efa32b3e52b8b0a4c9),Exercise can affect your blood glucose levels. Continue to monitor your levels to prevent unnecessary highs and lows.,L'exercice peut affecter votre taux de glycémie. Continuez à surveiller vos niveaux afin d'éviter les hauts et les bas inutiles.
ObjectId(55ab18efa32b3e52b8b0a4cb),Keep healthy foods in your kitchen where they are easily accessible.,Gardez des aliments sains dans votre cuisine où ils sont facilement accessibles.
